# Big-edge (>=6pp recomputed vs closing) rows — losing population
id	date	game_id	side	side_team	market_line	closing_line	model_line	edge_pp	side_is_fav	side_is_home	line_move_pp	outcome	pnl_100
12179	2026-04-23	cws-ari	home	ARI	99900	99900	-141	58.41	0	1	-58.92	loss	-100
12181	2026-04-23	lad-sf	home	SF	99900	99900	154	39.27	0	1	-34.87	loss	-100
94678	2026-07-12	nyy-was	home	WAS	243	243	-117	24.76	0	1	-19.63	loss	-100
96678	2026-07-12	nyy-was	away	NYY	283	283	113	20.84	0	0	-29.64	win	283
96679	2026-07-12	chc-cin	home	CIN	255	255	121	17.08	0	1	-19.91	loss	-100
91709	2026-07-09	mil-stl	home	STL	218	218	114	15.28	0	1	-15.50	loss	-100
91354	2026-07-09	chc-bal	away	CHC	220	220	117	14.83	0	0	-19.73	loss	-100
90195	2026-07-08	sea-mia	away	SEA	154	154	-118	14.76	0	0	-14.55	loss	-100
26156	2026-05-23	ath-sd	away	ATH	144	144	-125	14.57	0	0	-8.04	loss	-100
11999	2026-04-22	sd-col	home	COL	144	144	-121	13.77	0	1	-4.06	win	144
90200	2026-07-08	kc-nym	away	KC	299	299	159	13.55	0	0	-19.78	loss	-100
7198	2026-04-13	nym-lad	away	NYM	178	178	105	12.81	0	0		loss	-100
31694	2026-05-31	nyy-ath	home	ATH	152	152	-109	12.47	0	1	-7.05	loss	-100
96094	2026-07-12	bos-nym	home	NYM	220	220	130	12.23	0	1	-24.50	loss	-100
77401	2026-07-01	mia-col	home	COL	123	123	-132	12.05	0	1	2.11	win	123
9962	2026-04-19	lad-col	home	COL	198	198	122	11.49	0	1	6.53	win	198
37317	2026-06-05	mil-col	home	COL	134	134	-118	11.39	0	1	1.92	loss	-100
73673	2026-06-29	mia-col	home	COL	128	128	-123	11.30	0	1	-2.01	loss	-100
19281	2026-05-09	was-mia	away	WAS	133	133	-118	11.21	0	0	-2.13	loss	-100
66567	2026-06-23	bos-col	home	COL	134	134	-115	10.75	0	1	-2.11	loss	-100
17454	2026-05-04	bos-det	away	BOS	163	163	106	10.52	0	0	-1.98	win	163
26466	2026-05-23	cws-sf	away	CWS	104	104	-147	10.49	0	0	0.00	loss	-100
90113	2026-07-08	mil-stl	home	STL	123	123	-123	10.31	0	1	-2.11	win	123
13875	2026-04-28	chc-sd	away	CHC	122	122	-124	10.31	0	0	-3.03	win	122
91171	2026-07-09	atl-pit	home	PIT	175	175	115	10.15	0	1	-18.59	loss	-100
85512	2026-07-05	cws-cle	away	CWS	122	122	-123	10.11	0	0	-1.90	win	122
50823	2026-06-14	sea-was	home	WAS	113	113	-131	9.76	0	1	1.08	win	113
12177	2026-04-23	sd-col	home	COL	133	133	-111	9.69	0	1	0.90	loss	-100
59932	2026-06-19	cin-nyy	away	CIN	228	228	149	9.67	0	0	-6.14	loss	-100
15510	2026-05-01	kc-sea	away	KC	127	127	-116	9.65	0	0	3.07	win	127
8622	2026-04-16	tex-ath	home	ATH	100	100	-147	9.51	0	1	-3.49	loss	-100
9200	2026-04-17	stl-hou	away	STL	117	117	-125	9.47	0	0	-1.99	win	117
11552	2026-04-21	hou-cle	away	HOU	127	127	-115	9.44	0	0	-4.02	loss	-100
16420	2026-05-02	kc-sea	away	KC	127	127	-115	9.44	0	0	0.00	win	127
35265	2026-06-03	det-tb	away	DET	128	128	-114	9.41	0	0	1.12	win	128
13382	2026-04-25	phi-atl	away	PHI	113	113	-129	9.38	0	0	-2.07	win	113
34257	2026-06-02	sf-mil	away	SF	208	208	139	9.37	0	0	-10.09	loss	-100
90553	2026-07-08	mil-stl	away	MIL	175	175	119	9.30	0	0	-22.48	loss	-100
90116	2026-07-08	col-lad	away	COL	231	231	154	9.16	0	0	-7.52	loss	-100
59942	2026-06-19	bal-lad	away	BAL	180	180	123	9.13	0	0	-2.02	loss	-100
18968	2026-05-08	min-cle	away	MIN	122	122	-118	9.08	0	0	0.00	loss	-100
23397	2026-05-19	bos-kc	home	KC	117	117	-123	9.07	0	1	-2.94	loss	-100
39533	2026-06-08	mil-ath	home	ATH	123	123	-117	9.07	0	1	0.98	loss	-100
40799	2026-06-09	ari-mia	away	ARI	123	123	-117	9.07	0	0	-3.94	loss	-100
17459	2026-05-04	lad-hou	home	HOU	170	170	117	9.05	0	1	-2.03	loss	-100
75373	2026-06-30	det-nyy	away	DET	-104	-104	-150	9.02	1	0	5.11	win	100
9451	2026-04-18	kc-nyy	away	KC	144	144	100	9.02	0	0	-0.68	loss	-100
41998	2026-06-10	mil-ath	home	ATH	-112	-112	-162	9.00	1	1	1.85	win	100
11996	2026-04-22	cin-tb	away	CIN	127	127	-113	9.00	0	0	-2.03	loss	-100
16862	2026-05-03	mil-was	home	WAS	122	122	-117	8.87	0	1	-4.95	win	122
16894	2026-05-03	kc-sea	away	KC	108	108	-132	8.82	0	0	4.02	win	108
35362	2026-06-03	ath-chc	away	ATH	113	113	-126	8.80	0	0	-3.05	win	113
28323	2026-05-27	tb-bal	home	BAL	101	101	-141	8.75	0	1	-1.94	win	101
16861	2026-05-03	bal-nyy	away	BAL	233	233	158	8.73	0	0	-7.99	loss	-100
5779	2026-04-10	ath-nym	away	ATH	129	129	-110	8.71	0	0		win	129
20414	2026-05-12	nyy-bal	home	BAL	117	117	-121	8.67	0	1	4.07	loss	-100
57857	2026-06-18	tor-bos	away	TOR	113	113	-125	8.61	0	0	-3.05	win	113
15508	2026-05-01	atl-col	home	COL	150	150	106	8.54	0	1	5.03	loss	-100
46075	2026-06-12	phi-mil	away	PHI	198	198	138	8.46	0	0	-2.16	loss	-100
28000	2026-05-26	sea-ath	home	ATH	-116	-116	-164	8.42	1	1	-3.92	loss	-100
77390	2026-07-01	det-nyy	away	DET	113	113	-124	8.41	0	0	4.21	win	113
40811	2026-06-09	was-sf	away	WAS	-108	-108	-152	8.39	1	0	3.85	win	100
22020	2026-05-16	kc-stl	away	KC	100	100	-140	8.33	0	0	1.92	loss	-100
38549	2026-06-07	pit-atl	away	PIT	128	128	-109	8.29	0	0	-2.01	loss	-100
80672	2026-07-03	mil-ari	home	ARI	118	118	-118	8.26	0	1	3.14	loss	-100
90665	2026-07-08	laa-tex	home	TEX	115	115	-121	8.24	0	1	-15.32	loss	-100
36521	2026-06-04	tor-atl	away	TOR	208	208	146	8.18	0	0	-11.39	win	208
35263	2026-06-03	mia-was	home	WAS	-112	-112	-156	8.11	1	1	-0.87	loss	-100
22404	2026-05-17	ari-col	home	COL	127	127	-109	8.10	0	1	-5.95	loss	-100
83287	2026-07-04	pit-was	home	WAS	128	128	-108	8.06	0	1	-4.22	loss	-100
78758	2026-07-02	mia-col	home	COL	118	118	-117	8.05	0	1	-2.21	win	118
16892	2026-05-03	atl-col	home	COL	122	122	-113	8.01	0	1	10.08	loss	-100
6451	2026-04-12	min-tor	away	MIN	119	119	-115	7.83	0	0		win	119
13755	2026-04-27	stl-pit	home	PIT	-127	-127	-176	7.82	1	1	-2.04	loss	-100
20950	2026-05-14	mia-min	home	MIN	-122	-108	-148	7.75	1	1	0.00	win	100
85505	2026-07-05	mil-ari	home	ARI	-104	-104	-142	7.70	1	1	2.20	loss	-100
37973	2026-06-06	mil-col	home	COL	239	239	169	7.68	0	1	-5.10	loss	-100
9546	2026-04-18	det-bos	away	DET	-138	-138	-191	7.65	1	0	-2.65	win	100
5640	2026-04-09	cws-kc	away	CWS	153	153	112	7.64	0	0		win	153
24528	2026-05-21	ath-laa	away	ATH	-100	-100	-136	7.63	1	0	-3.92	win	100
56698	2026-06-17	sf-atl	away	SF	118	118	-115	7.62	0	0	3.14	win	118
61932	2026-06-20	sf-mia	away	SF	118	118	-115	7.62	0	0	1.03	loss	-100
13819	2026-04-27	sea-min	home	MIN	113	113	-120	7.60	0	1	-3.05	win	113
68394	2026-06-24	cle-cws	home	CWS	-108	-108	-147	7.59	1	1	1.92	loss	-100
37312	2026-06-05	kc-min	away	KC	-104	-104	-141	7.53	1	0	-1.85	loss	-100
61927	2026-06-20	cin-nyy	away	CIN	165	165	121	7.51	0	0	-1.02	win	165
94702	2026-07-12	ari-lad	away	ARI	189	189	138	7.41	0	0	-2.03	win	189
14567	2026-04-29	ari-mil	away	ARI	117	117	-115	7.41	0	0	-3.92	win	117
27658	2026-05-25	cin-nym	away	CIN	114	114	-118	7.40	0	0	2.09	win	114
30583	2026-05-30	det-cws	away	DET	-111	-111	-150	7.39	1	0	1.87	loss	-100
9549	2026-04-18	stl-hou	away	STL	122	122	-110	7.34	0	0	-2.12	win	122
22405	2026-05-17	sf-ath	home	ATH	-138	-138	-188	7.29	1	1	0.90	loss	-100
17458	2026-05-04	cle-kc	home	KC	-108	-108	-145	7.26	1	1	-3.03	win	100
96779	2026-07-12	atl-stl	home	STL	142	142	106	7.22	0	1	-14.43	loss	-100
13380	2026-04-25	laa-kc	home	KC	-133	-133	-180	7.20	1	1	-0.90	win	100
90697	2026-07-09	ath-det	away	ATH	105	117	-114	7.19	0	0	1.24	loss	-100
89359	2026-07-09	bos-cws	away	BOS	-104	-104	-139	7.18	1	0	0.98	win	100
18576	2026-05-07	nym-col	home	COL	122	122	-109	7.11	0	1	2.13	win	122
19715	2026-05-10	min-cle	away	MIN	144	144	108	7.09	0	0	-5.96	win	144
9557	2026-04-18	sd-laa	home	LAA	100	100	-133	7.08	0	1	-4.95	loss	-100
64845	2026-06-22	nyy-det	home	DET	108	108	-123	7.08	0	1	-2.90	win	108
9961	2026-04-19	kc-nyy	away	KC	138	138	104	7.00	0	0	0.00	loss	-100
9555	2026-04-18	lad-col	home	COL	245	245	178	6.99	0	1	1.59	win	245
17462	2026-05-04	sd-sf	home	SF	113	113	-117	6.97	0	1	-9.00	win	113
22083	2026-05-16	bos-atl	away	BOS	-100	-100	-132	6.90	1	0	7.08	win	100
13381	2026-04-25	nyy-hou	home	HOU	122	122	-108	6.88	0	1	0.99	loss	-100
18577	2026-05-07	bal-mia	away	BAL	108	108	-122	6.88	0	0	-1.92	loss	-100
20800	2026-05-13	nyy-bal	home	BAL	144	144	109	6.86	0	1	-1.93	win	144
21008	2026-05-14	sd-mil	away	SD	133	144	109	6.86	0	0	0.00	loss	-100
8227	2026-04-15	tb-cws	away	TB	-108	-104	-137	6.83	1	0	0.24	win	100
30590	2026-05-30	atl-cin	home	CIN	106	106	-124	6.81	0	1	2.88	loss	-100
6458	2026-04-12	tex-lad	away	TEX	118	118	-111	6.74	0	0		win	118
69277	2026-06-25	hou-det	home	DET	-122	-122	-161	6.73	1	1	-0.80	loss	-100
15505	2026-05-01	bal-nyy	away	BAL	150	150	114	6.73	0	0	-0.98	loss	-100
85507	2026-07-05	tor-sea	away	TOR	100	100	-131	6.71	0	0	4.13	loss	-100
75379	2026-06-30	cin-mil	away	CIN	139	139	106	6.70	0	0	3.08	loss	-100
5615	2026-04-09	ath-nyy	away	ATH	169	169	128	6.68	0	0		win	169
23874	2026-05-20	bal-tb	away	BAL	108	108	-121	6.67	0	0	-2.90	loss	-100
8619	2026-04-16	laa-nyy	away	LAA	252	255	187	6.67	0	0	-9.85	win	255
54903	2026-06-16	col-chc	away	COL	173	173	131	6.66	0	0	-1.11	win	173
30585	2026-05-30	kc-tex	away	KC	101	101	-129	6.58	0	0	0.00	loss	-100
37963	2026-06-06	cin-stl	away	CIN	105	105	-124	6.58	0	0	0.70	loss	-100
83277	2026-07-04	sf-col	home	COL	113	113	-115	6.54	0	1	-1.83	loss	-100
50825	2026-06-14	lad-cws	home	CWS	165	165	126	6.51	0	1	-1.02	win	165
34248	2026-06-02	det-tb	away	DET	118	118	-110	6.51	0	0	1.23	win	118
