# 1-by-1 sensitivity — Val ROI + band-level effects (baseline = current prod weights)
sweep	candidate	fit_book_n	fit_book_roi	val_book_n	val_book_roi	val_12_n	val_12_roi	val_24_n	val_24_roi	val_46_n	val_46_roi	val_bigfav_n	val_bigfav_roi	val_dh_n	val_dh_roi	fit_dropped	val_dropped	fit_suppressed	val_suppressed
BASELINE	all defaults	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
W_PIT	0.35/0.65	-	-	42	9.36	11	-1.27	12	20.92	11	4.91	3	33.33	3	-100.00	-	25	-	19
W_PIT	0.40/0.60 (baseline)	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
W_PIT	0.45/0.55	-	-	45	-3.78	11	-42.64	17	26.18	11	4.91	3	33.33	2	-100.00	-	22	-	19
W_PIT	0.50/0.50	-	-	43	-3.95	12	-28.83	15	45.80	11	-19.18	2	0.00	1	-100.00	-	24	-	19
W_PIT	0.55/0.45	-	-	41	-4.15	10	-7.00	15	26.53	12	-8.17	1	-100.00	1	-100.00	-	25	-	20
SP_WEIGHT	0.70/0.30	-	-	47	-3.34	13	-36.08	17	14.41	9	-3.89	3	33.33	2	-100.00	-	21	-	18
SP_WEIGHT	0.75/0.25	-	-	47	0.91	13	-20.69	17	14.41	9	-3.89	3	33.33	3	-100.00	-	21	-	18
SP_WEIGHT	0.80/0.20 (baseline)	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
SP_WEIGHT	0.85/0.15	-	-	44	-0.93	14	-39.14	14	24.29	10	15.40	3	33.33	2	-100.00	-	22	-	20
SP_WEIGHT	0.90/0.10	-	-	42	-6.05	13	-49.85	13	11.62	11	31.18	3	33.33	2	-100.00	-	23	-	21
SP_PIT_WEIGHT	0.65/0.35	-	-	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	-	22	-	19
SP_PIT_WEIGHT	0.70/0.30	-	-	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	-	22	-	19
SP_PIT_WEIGHT	0.75/0.25 (baseline)	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
SP_PIT_WEIGHT	0.80/0.20	-	-	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	-	22	-	19
SP_PIT_WEIGHT	0.85/0.15	-	-	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	-	22	-	19
BP_STRONG_R	0.45/0.55	-	-	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	-	22	-	19
BP_STRONG_R	0.55/0.45 (baseline)	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
BP_STRONG_R	0.65/0.35	-	-	46	-0.89	15	-29.87	14	24.29	10	15.40	3	33.33	3	-100.00	-	22	-	18
BP_STRONG_L	0.25/0.75	-	-	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	-	22	-	19
BP_STRONG_L	0.35/0.65 (baseline)	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
BP_STRONG_L	0.45/0.55	-	-	46	-0.61	15	-15.67	15	16.00	9	6.00	3	33.33	3	-100.00	-	21	-	19
PA_WEIGHTS	flat 4.13	-	-	44	3.91	16	-20.94	12	28.33	8	19.25	4	50.00	3	-100.00	-	23	-	19
PA_WEIGHTS	baseline empirical	320	-0.49	45	-3.13	15	-29.87	14	24.29	9	6.00	3	33.33	3	-100.00	138	22	64	19
PA_WEIGHTS	steepened 1.5x	-	-	46	3.57	14	-24.86	16	21.56	8	8.13	3	33.33	3	-100.00	-	21	-	19
