# W_PIT rolling-origin CV, HARD=0.08 pinned, SP_WEIGHT=0.80 held
w_pit	fold	fit_start	fit_end	test_start	test_end	fit_n	fit_roi	fit_ci_lo	fit_ci_hi	test_n	test_roi	test_ci_lo	test_ci_hi	fit_12_n	fit_12_roi	test_12_n	test_12_roi	val_fit_ratio
0.30	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	192	1.87	-15.10	18.39	134	-0.06	-18.87	18.55	25	2.44	26	-14.15	-0.03
0.30	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	262	5.84	-6.83	19.43	102	-5.75	-26.99	15.04	36	5.36	21	-32.48	-0.98
0.30	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	321	2.03	-10.42	14.73	43	6.81	-27.51	41.12	49	-6.27	8	-22.75	3.36
0.32	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	192	0.83	-15.63	16.67	130	2.98	-15.55	22.10	22	7.32	21	-13.38	3.59
0.32	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	260	5.07	-9.17	19.27	100	-1.78	-24.00	20.84	31	2.58	18	-21.22	-0.35
0.32	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	318	2.35	-9.31	14.41	42	9.36	-23.57	43.12	42	-5.24	7	-11.71	3.99
0.35	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	197	2.32	-14.01	19.05	129	2.19	-15.51	20.71	29	10.76	20	-9.05	0.94
0.35	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	266	4.92	-8.57	19.29	102	-1.75	-24.42	20.26	40	5.78	20	-5.70	-0.35
0.35	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	322	2.92	-9.19	15.33	46	4.20	-27.61	36.00	48	0.65	12	7.17	1.44
0.37	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	198	3.95	-10.93	19.26	129	-1.42	-20.47	16.76	29	32.03	22	-17.32	-0.36
0.37	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	268	4.74	-8.13	17.55	101	-5.07	-25.53	16.50	41	13.37	22	-15.82	-1.07
0.37	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	322	2.80	-8.60	15.94	47	-3.00	-33.36	28.26	49	11.18	14	-24.86	-1.07
0.40	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	194	2.72	-13.98	18.93	126	-5.42	-24.56	12.95	27	41.81	26	-37.73	-2.00
0.40	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	264	3.09	-10.58	17.16	101	-11.01	-32.86	9.64	42	15.43	26	-36.46	-3.57
0.40	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	316	0.77	-11.63	13.03	49	-11.04	-39.80	19.16	52	4.77	16	-34.25	-14.30
0.42	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	186	2.45	-13.97	19.26	120	-4.63	-25.12	16.74	22	28.00	20	-27.90	-1.89
0.42	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	254	3.72	-8.63	17.91	97	-12.43	-35.00	8.00	35	15.94	21	-41.38	-3.35
0.42	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	302	0.99	-11.32	13.65	49	-11.47	-41.49	19.84	42	1.38	14	-26.36	-11.55
0.45	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	183	2.43	-13.32	19.61	117	-0.24	-20.22	18.97	18	22.83	23	0.96	-0.10
0.45	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	251	3.83	-9.46	18.10	94	-7.60	-28.65	13.95	31	17.84	21	-28.05	-1.98
0.45	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	297	2.41	-10.53	14.34	48	-9.79	-37.63	18.73	41	10.56	11	-42.64	-4.06
0.50	A	2026-04-09	2026-05-31	2026-06-01	2026-06-30	183	2.90	-13.96	20.17	116	-5.37	-23.44	13.94	27	-7.37	19	-8.79	-1.85
0.50	B	2026-04-09	2026-06-14	2026-06-15	2026-07-13	252	2.08	-11.18	17.31	90	-8.73	-30.67	13.66	37	-9.84	21	-16.57	-4.21
0.50	C	2026-04-09	2026-06-29	2026-06-30	2026-07-13	295	1.04	-11.00	12.87	47	-12.13	-42.89	19.83	45	-5.91	13	-34.31	-11.65
